id,target
00034db451c4,0.008685005
0006316b5ca0,0.0015209661
0006a953d21b,0.046533797
0008a33d6695,0.032497596
00095b5119fc,0.011968443
000c99f1a336,0.0049265833
000cb84d12e4,0.01437266
000df2799b46,0.0017486488
000e43012936,0.02013131
001004691ca1,0.0010581244
001079f916aa,0.0062260996
0010ba102af6,0.0011962407
001362ee8003,0.0037495221
00146b90b615,0.0013124144
0014cec328e2,0.0010524316
0017fde8aac6,0.007401228
001abaa506e0,0.0054533305
001d29c82d80,0.0034756847
001d7eb3f9cb,0.8343788
001e82ba9d4a,0.00094938127
001ff76166aa,0.841718
002081441070,0.00041021942
002993108442,0.00131845
002aa50ee6f8,0.0020252725
002c8b6ca2e0,0.0014249071
002c8e761d37,0.013875446
002cc96b1041,0.006063255
002d5868b367,0.60423017
002f61bfb7bc,0.016082497
00308b3bb6c1,0.0053987284
003158b73592,0.00022112567
0035fec8b66c,0.0012877274
003642d935de,0.0032056374
00369b7adbb0,0.010392099
0038bd619d2e,0.011480295
003954c7e391,0.83060443
0039db15867a,0.021006979
003b5326af50,0.5860556
003d449ce211,0.015466436
003e2ff24826,0.017272223
00426b858d0f,0.0033877187
0048665c3d4b,0.027168099
00490c163a81,0.0010513684
004a64b5f80b,0.0037408967
004b61a2cb4a,0.025480231
004c5b3fee8b,0.06808606
004d18dd0a8f,0.004101898
004fd85f815e,0.013992135
004ffa352164,0.00088937255
00514562e9f5,0.0014208549
00540e056868,0.6079462
0054f701205f,0.006506643
00590ab75c5a,0.0026002417
005d3ddc13e8,0.0025797419
005dcee1f5e6,0.025890771
005de9e5e4e4,0.0074283197
005e0a2d415b,0.67526436
005e68b19159,0.34787595
005e6a127258,0.54407775
005f27d56543,0.058011305
0066c77058e7,0.62835526
006b71f5f5d5,0.016290698
006c9714ee57,0.032234203
006e17e9c8c8,0.06885554
006f083fe7fc,0.058891475
006f9d4f4dd4,0.9111705
007145d98dd7,0.019932617
00718207ac54,0.00029092564
0073f705904b,0.0006992822
0077752b77a4,0.0040107067
0077d7d02cd6,0.05721543
00781f951b9c,0.004896552
007a51059ce8,0.003426608
007f276f3736,0.004563611
007fbf319b1f,0.002564835
00800bea3d72,0.002728259
0081edfe7688,0.70805764
0083559b8d51,0.013531435
00850965ce8a,0.86561775
0086c2ef4c58,0.0006773908
0088d82327b3,0.0014493446
0089870c2a85,0.0015751865
0089ff637c53,0.87099314
008baa558d52,0.004619873
009110105b31,0.002350871
0091ae0f941e,0.74082047
0094bea627b4,0.9080343
0095262c72b1,0.86493695
0095deaddd8a,0.0022346058
0097a3ee9336,0.034349248
009f1ddc7dd8,0.00025428899
00a3d3d7c6d3,0.0042270026
00a4afe9d9ff,0.005474638
00a4d630ee4d,0.022945594
00a8ed0ce01c,0.031733625
00abedfe840c,0.88775975
00b2015c1986,0.86323386
00b390c0b75b,0.00905155
00b520f952c3,0.018083148
00b6ec6111b5,0.015664501
00b88812e579,0.0053907684
00baf533f415,0.04276608
00be5070dc9a,0.0036815912
00c021885c4b,0.017785713
00c0b3cc5102,0.046147134
00c2897b6b7b,0.014378828
00c414bcc3c0,0.012398443
00c572352cf0,0.07556058
00c5d352f5f6,0.0029558365
00c744f1f4de,0.7434279
00c82df9b194,0.0026642352
00c87d6963d6,0.05327394
00caa71fed46,0.20684788
00d406959986,0.0016337632
00d7ed0df98d,0.005128067
00dbc4a949de,0.0011341701
00defebd71aa,0.8424526
00e4c4f5e9c8,0.029442092
00e7b0db713c,0.020535883
00e81a0a563c,0.01953203
00e8d4b3edff,0.007891906
00eab7c160af,0.8091236
00f16a989f13,0.02179253
00f54037fa37,0.0010133638
00f6e15028e5,0.0074062664
00f8087503e4,0.0052102506
00f9d6d6f1e8,0.8981557
00fa064fdd1e,0.0010272323
00fefd66059d,0.02075879
00ff670d435f,0.016760916
0102789b1c4a,0.83858895
0103226ae949,0.0008386301
0105558362b9,0.0061512543
0105a0fcea8e,0.0019777939
010a614ebf5a,0.03512069
010ce3d0cd23,0.010184117
010f58a3cba8,0.9044808
011360572aac,0.00909211
01150b7578c4,0.0023033132
011888b879b1,0.0060046464
011b2e6104fd,0.005054825
011c78a336f2,0.0016198402
0122567cae2a,0.7078508
0122cd2a7334,0.0016191509
012a03b79ea3,0.0011878551
012b6fb7d34d,0.010450258
012ddbaf23fd,0.024054
013315e8a759,0.018936932
0133d714e633,0.009777992
0138bebecc75,0.0017395869
013bb81cc243,0.03156786
013bcc706f7e,0.0022771356
013e8f6e7dc8,0.8279884
01416bd180e4,0.02788979
014490bf5bcd,0.0044178246
0146f8fe5e97,0.010382635
014a5fc54414,0.021855779
014b6d7eed90,0.0008660263
014c4e9be1b9,0.009216708
0153adb8260f,0.8766801
01542ff4ac2d,0.011452303
015433e5e1d1,0.0007821103
015634a245c6,0.0026137163
0159002288d2,0.0071167876
015b31cf11f8,0.0006660114
015c2185f1a3,0.0006269203
015cd5b49d5a,0.005483319
015e57ba27b5,0.002550985
015eac57e5c7,0.009604861
015eada32026,0.0008711403
015ef3a6f4b9,0.8375594
015fdc5a4bef,0.0073359828
01628e125741,0.00059870246
0164ab76a9ae,0.011470559
016617fc68fb,0.00059627456
016aa9751b02,0.0029561678
016bb1344a33,0.0016885807
016bf8e0124d,0.011529638
016d7d92c51d,0.00048315013
016f3856249f,0.7215565
016fbea5e789,0.003690622
017227103642,0.7137424
01739dd401b5,0.005805022
